# Force coefficients
# dragDir     : (9.284767e-01 3.713907e-01 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (-3.713907e-01 9.284767e-01 0.000000e+00)
# rollAxis    : (9.284767e-01 3.713907e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (-3.713907e-01 9.284767e-01 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
0.110248      	-1.273784e-02	-3.418342e-22	-5.125208e-02	-2.562604e-02	3.510792e-02	6.368918e-03	-3.199496e-02	1.925712e-02	6.368918e-03	-6.368918e-03	9.481880e-03	-6.073396e-02
0.110497      	-1.361136e-02	-3.379089e-22	-5.240189e-02	-2.620095e-02	3.536873e-02	6.805678e-03	-3.300662e-02	1.939527e-02	6.805678e-03	-6.805678e-03	9.167787e-03	-6.156968e-02
0.110746      	-1.319515e-02	-3.401244e-22	-5.180785e-02	-2.590393e-02	3.524914e-02	6.597574e-03	-3.250150e-02	1.930635e-02	6.597574e-03	-6.597574e-03	9.345211e-03	-6.115307e-02
0.110994      	-1.344029e-02	-3.387965e-22	-5.216341e-02	-2.608171e-02	3.534146e-02	6.720145e-03	-3.280185e-02	1.936156e-02	6.720145e-03	-6.720145e-03	9.259749e-03	-6.142316e-02
0.111243      	-1.329410e-02	-3.398663e-22	-5.190812e-02	-2.595406e-02	3.526294e-02	6.647052e-03	-3.260111e-02	1.930701e-02	6.647052e-03	-6.647052e-03	9.308878e-03	-6.121700e-02
0.111492      	-1.348644e-02	-3.381285e-22	-5.231564e-02	-2.615782e-02	3.542947e-02	6.743218e-03	-3.290104e-02	1.941460e-02	6.743218e-03	-6.743218e-03	9.271647e-03	-6.158729e-02
0.111741      	-1.361388e-02	-3.364895e-22	-5.266864e-02	-2.633432e-02	3.559908e-02	6.806942e-03	-3.314126e-02	1.952738e-02	6.806942e-03	-6.806942e-03	9.264756e-03	-6.193340e-02
0.11199       	-1.364229e-02	-3.362977e-22	-5.272103e-02	-2.636051e-02	3.561465e-02	6.821143e-03	-3.318166e-02	1.953937e-02	6.821143e-03	-6.821143e-03	9.254134e-03	-6.197516e-02
0.112239      	-1.365395e-02	-3.362585e-22	-5.274929e-02	-2.637464e-02	3.562901e-02	6.826976e-03	-3.320162e-02	1.954767e-02	6.826976e-03	-6.826976e-03	9.254372e-03	-6.200366e-02
0.112488      	-1.369999e-02	-3.358831e-22	-5.284868e-02	-2.642434e-02	3.567431e-02	6.849995e-03	-3.327433e-02	1.957434e-02	6.849995e-03	-6.849995e-03	9.249975e-03	-6.209865e-02
0.112738      	-1.368927e-02	-3.361581e-22	-5.282656e-02	-2.641328e-02	3.566009e-02	6.844633e-03	-3.325791e-02	1.956865e-02	6.844633e-03	-6.844633e-03	9.246813e-03	-6.207337e-02
