# Force coefficients
# dragDir     : (9.284767e-01 3.713907e-01 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (-3.713907e-01 9.284767e-01 0.000000e+00)
# rollAxis    : (9.284767e-01 3.713907e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (-3.713907e-01 9.284767e-01 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
0.00025641    	3.818020e-02	-8.589565e-21	6.089109e-01	3.044554e-01	-1.565485e-01	-1.909010e-02	3.235455e-01	-2.853653e-01	-1.909010e-02	1.909010e-02	1.479069e-01	4.610040e-01
0.000512821   	4.190344e-02	-5.635273e-23	7.099483e-02	3.549741e-02	-2.020520e-02	-2.095172e-02	5.644913e-02	-1.454569e-02	-2.095172e-02	2.095172e-02	1.529221e-02	5.570261e-02
0.000769231   	2.812173e-02	3.147002e-22	4.384163e-02	2.192081e-02	-1.031974e-02	-1.406086e-02	3.598168e-02	-7.859948e-03	-1.406086e-02	1.406086e-02	1.160108e-02	3.224055e-02
0.00102564    	2.756487e-02	2.420415e-22	4.101834e-02	2.050917e-02	-1.157654e-02	-1.378243e-02	3.429161e-02	-6.726739e-03	-1.378243e-02	1.378243e-02	8.932633e-03	3.208571e-02
0.00128205    	2.549973e-02	2.235272e-22	3.727039e-02	1.863520e-02	-1.110929e-02	-1.274986e-02	3.138506e-02	-5.885334e-03	-1.274986e-02	1.274986e-02	7.525907e-03	2.974449e-02
0.00153846    	2.388043e-02	2.145723e-22	3.459762e-02	1.729881e-02	-1.055881e-02	-1.194021e-02	2.923902e-02	-5.358597e-03	-1.194021e-02	1.194021e-02	6.739994e-03	2.785762e-02
0.00179487    	2.279643e-02	2.058222e-22	3.287708e-02	1.643854e-02	-1.008849e-02	-1.139821e-02	2.783675e-02	-5.040326e-03	-1.139821e-02	1.139821e-02	6.350050e-03	2.652703e-02
0.00205128    	2.212031e-02	1.990697e-22	3.194274e-02	1.597137e-02	-9.855984e-03	-1.106015e-02	2.703152e-02	-4.911216e-03	-1.106015e-02	1.106015e-02	6.115386e-03	2.582735e-02
0.00230769    	2.170386e-02	1.929389e-22	3.148574e-02	1.574287e-02	-9.736313e-03	-1.085193e-02	2.659480e-02	-4.890937e-03	-1.085193e-02	1.085193e-02	6.006556e-03	2.547918e-02
0.0025641     	2.144193e-02	1.862878e-22	3.128780e-02	1.564390e-02	-9.690637e-03	-1.072096e-02	2.636487e-02	-4.922937e-03	-1.072096e-02	1.072096e-02	5.953265e-03	2.533454e-02
