# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   	cellDisplacement_solver	cellDisplacementx_initial	cellDisplacementx_final	cellDisplacementx_iters	cellDisplacementy_initial	cellDisplacementy_final	cellDisplacementy_iters	cellDisplacement_converged	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
0.00025641    	DILUPBiCGStab	1.333110e-06	5.178200e-10	1	2.076480e-05	8.151280e-09	1	false	DILUPBiCGStab	8.148050e-08	1.350790e-28	1	true	GAMG	9.681630e-01	6.854630e-03	4	true	DICPCG	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	DILUPBiCGStab	1.000000e+00	4.121820e-20	1	true
0.000512821   	DILUPBiCGStab	1.658920e-04	1.313100e-09	1	4.177520e-03	3.044330e-08	1	false	DILUPBiCGStab	2.654540e-11	2.654540e-11	0	true	GAMG	8.887790e-01	8.651370e-03	3	true	DICPCG	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	DILUPBiCGStab	1.054180e-15	1.054180e-15	0	true
0.000769231   	DILUPBiCGStab	2.293300e-05	1.576620e-10	1	9.584900e-04	3.407850e-09	1	false	DILUPBiCGStab	2.654540e-11	2.654540e-11	0	true	GAMG	2.349440e-01	2.061350e-03	4	true	DICPCG	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	DILUPBiCGStab	1.054180e-15	1.054180e-15	0	true
0.00102564    	DILUPBiCGStab	1.256940e-05	1.389980e-10	1	5.516560e-04	3.138970e-09	1	false	DILUPBiCGStab	2.654540e-11	2.654540e-11	0	true	GAMG	1.356160e-01	1.252760e-03	4	true	DICPCG	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	DILUPBiCGStab	1.054180e-15	1.054180e-15	0	true
0.00128205    	DILUPBiCGStab	7.597390e-06	1.230080e-10	1	3.317650e-04	2.791530e-09	1	false	DILUPBiCGStab	2.654540e-11	2.654540e-11	0	true	GAMG	7.880900e-02	7.596970e-04	4	true	DICPCG	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	DILUPBiCGStab	1.054180e-15	1.054180e-15	0	true
0.00153846    	DILUPBiCGStab	4.929590e-06	1.123220e-10	1	2.054030e-04	2.551090e-09	1	false	DILUPBiCGStab	2.654540e-11	2.654540e-11	0	true	GAMG	5.469910e-02	3.900700e-04	4	true	DICPCG	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	DILUPBiCGStab	1.054180e-15	1.054180e-15	0	true
0.00179487    	DILUPBiCGStab	3.418880e-06	1.046150e-10	1	1.307770e-04	2.360170e-09	1	false	DILUPBiCGStab	2.654540e-11	2.654540e-11	0	true	GAMG	4.087040e-02	3.272250e-04	4	true	DICPCG	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	DILUPBiCGStab	1.054180e-15	1.054180e-15	0	true
0.00205128    	DILUPBiCGStab	2.541730e-06	9.880070e-11	1	8.626550e-05	2.217740e-09	1	false	DILUPBiCGStab	2.654540e-11	2.654540e-11	0	true	GAMG	3.202680e-02	1.919870e-04	4	true	DICPCG	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	DILUPBiCGStab	1.054180e-15	1.054180e-15	0	true
0.00230769    	DILUPBiCGStab	2.008900e-06	9.372820e-11	1	5.952010e-05	2.099420e-09	1	false	DILUPBiCGStab	2.654540e-11	2.654540e-11	0	true	GAMG	2.606310e-02	1.792700e-04	4	true	DICPCG	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	DILUPBiCGStab	1.054180e-15	1.054180e-15	0	true
0.0025641     	DILUPBiCGStab	1.678820e-06	8.963550e-11	1	4.332470e-05	2.000460e-09	1	false	DILUPBiCGStab	2.654540e-11	2.654540e-11	0	true	GAMG	2.210320e-02	1.092140e-04	4	true	DICPCG	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	DILUPBiCGStab	1.054180e-15	1.054180e-15	0	true
0.00282051    	DILUPBiCGStab	1.472800e-06	8.573740e-11	1	3.347880e-05	1.915150e-09	1	false	DILUPBiCGStab	2.654540e-11	2.654540e-11	0	true	GAMG	1.904650e-02	1.116170e-04	4	true	DICPCG	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	DILUPBiCGStab	1.054180e-15	1.054180e-15	0	true
