# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   	cellDisplacement_solver	cellDisplacementx_initial	cellDisplacementx_final	cellDisplacementx_iters	cellDisplacementy_initial	cellDisplacementy_final	cellDisplacementy_iters	cellDisplacement_converged	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
0.000111111   	DILUPBiCGStab	1.000000e+00	9.947310e-05	1	1.000000e+00	2.921590e-04	1	false	DILUPBiCGStab	1.000000e+00	3.086630e-09	1	true	GAMG	1.000000e+00	7.464560e-03	13	true	DICPCG	1.000000e+00	2.071330e-14	1	1.000000e+00	6.571150e-14	1	false	DILUPBiCGStab	4.287240e-07	7.887190e-11	1	true
0.000242963   	DILUPBiCGStab	6.230740e-03	5.903470e-08	1	3.015260e-01	3.533850e-06	1	false	DILUPBiCGStab	6.431200e-03	4.502370e-11	1	true	GAMG	2.628370e-01	1.826390e-03	10	true	DICPCG	1.000000e+00	2.127710e-14	1	9.999950e-01	6.515510e-14	1	false	DILUPBiCGStab	1.963920e-06	3.420450e-10	1	true
0.000395417   	DILUPBiCGStab	2.400800e-04	3.213730e-09	1	1.272380e-02	3.816180e-07	1	false	DILUPBiCGStab	3.339190e-03	3.130140e-11	1	true	GAMG	6.955770e-01	4.561010e-03	5	true	DICPCG	3.607070e-01	9.116360e-15	1	3.698190e-01	3.362860e-14	1	false	DILUPBiCGStab	2.191470e-06	4.326160e-10	1	true
0.000570045   	DILUPBiCGStab	2.252170e-04	1.174140e-08	1	1.932500e-02	1.361130e-06	1	false	DILUPBiCGStab	2.296650e-03	4.482040e-11	1	true	GAMG	5.974310e-01	5.244000e-03	5	true	DICPCG	2.198940e-01	5.983050e-15	1	2.277930e-01	2.393970e-14	1	false	DILUPBiCGStab	2.361190e-06	6.691440e-10	1	true
0.000766503   	DILUPBiCGStab	1.532540e-04	5.356940e-09	1	1.087390e-02	4.120150e-07	1	false	DILUPBiCGStab	1.749500e-03	5.481180e-11	1	true	GAMG	4.742820e-01	3.283800e-03	5	true	DICPCG	1.656850e-01	4.789570e-15	1	1.727730e-01	1.986860e-14	1	false	DILUPBiCGStab	2.613750e-06	8.746730e-10	1	true
0.000971692   	DILUPBiCGStab	1.052780e-04	4.644920e-09	1	8.200370e-03	3.249690e-07	1	false	DILUPBiCGStab	1.323300e-03	6.172380e-11	1	true	GAMG	3.375200e-01	1.925880e-03	6	true	DICPCG	1.277790e-01	3.937700e-15	1	1.339500e-01	1.687660e-14	1	false	DILUPBiCGStab	2.717810e-06	1.032890e-09	1	true
0.00117688    	DILUPBiCGStab	7.906010e-05	3.379890e-09	1	4.668470e-03	1.371200e-07	1	false	DILUPBiCGStab	1.015460e-03	9.394970e-09	1	true	GAMG	2.160520e-01	1.974620e-03	5	true	DICPCG	1.003890e-01	3.294690e-15	1	1.057180e-01	1.461860e-14	1	false	DILUPBiCGStab	2.712240e-06	1.026640e-09	1	true
0.00137741    	DILUPBiCGStab	6.423160e-05	2.830620e-09	1	3.360110e-03	8.931310e-08	1	false	DILUPBiCGStab	7.973600e-04	7.730130e-09	1	true	GAMG	1.666070e-01	9.951070e-04	6	true	DICPCG	8.081440e-02	2.777610e-15	1	8.546040e-02	1.268470e-14	1	false	DILUPBiCGStab	2.653300e-06	9.805580e-10	1	true
0.00157337    	DILUPBiCGStab	5.500270e-05	2.457850e-09	1	2.327050e-03	5.407800e-08	1	false	DILUPBiCGStab	6.483230e-04	6.556300e-09	1	true	GAMG	1.182310e-01	8.118390e-04	5	true	DICPCG	6.733110e-02	2.313440e-15	1	7.146960e-02	1.123580e-14	1	false	DILUPBiCGStab	2.600400e-06	9.195340e-10	1	true
0.00176063    	DILUPBiCGStab	4.706290e-05	2.048400e-09	1	1.741680e-03	3.627360e-08	1	false	DILUPBiCGStab	5.282540e-04	5.392440e-09	1	true	GAMG	9.108640e-02	7.959790e-04	5	true	DICPCG	5.624930e-02	2.048670e-15	1	5.991550e-02	1.000600e-14	1	false	DILUPBiCGStab	2.496240e-06	8.208410e-10	1	true
0.00193975    	DILUPBiCGStab	4.175300e-05	1.737070e-09	1	1.350300e-03	2.488310e-08	1	false	DILUPBiCGStab	4.402550e-04	4.510600e-09	1	true	GAMG	6.722700e-02	4.592200e-04	5	true	DICPCG	4.796500e-02	1.885270e-15	1	5.125640e-02	9.023820e-15	1	false	DILUPBiCGStab	2.395980e-06	7.218150e-10	1	true
0.00211497    	DILUPBiCGStab	3.851800e-05	1.588040e-09	1	1.117080e-03	1.928310e-08	1	false	DILUPBiCGStab	3.814310e-04	4.078460e-09	1	true	GAMG	6.389340e-02	5.580810e-04	5	true	DICPCG	4.242220e-02	1.682510e-15	1	4.546640e-02	8.323780e-15	1	false	DILUPBiCGStab	2.346540e-06	6.689020e-10	1	true
0.00228274    	DILUPBiCGStab	3.470320e-05	1.374730e-09	1	9.071010e-04	1.424530e-08	1	false	DILUPBiCGStab	3.268240e-04	3.519810e-09	1	true	GAMG	4.754220e-02	4.089990e-04	5	true	DICPCG	3.713560e-02	1.519800e-15	1	3.991210e-02	7.587290e-15	1	false	DILUPBiCGStab	2.249670e-06	5.907140e-10	1	true
0.00244694    	DILUPBiCGStab	3.277380e-05	1.274750e-09	1	7.813340e-04	1.159740e-08	1	false	DILUPBiCGStab	2.894800e-04	3.247010e-09	1	true	GAMG	5.033660e-02	4.633480e-04	5	true	DICPCG	3.353290e-02	1.368110e-15	1	3.613570e-02	6.973890e-15	1	false	DILUPBiCGStab	2.197600e-06	5.410070e-10	1	true
0.00260429    	DILUPBiCGStab	3.006270e-05	1.123690e-09	1	6.578500e-04	8.977570e-09	1	false	DILUPBiCGStab	2.528720e-04	2.859200e-09	1	true	GAMG	3.914520e-02	3.363000e-04	5	true	DICPCG	2.987330e-02	1.253580e-15	1	3.227460e-02	6.443950e-15	1	false	DILUPBiCGStab	2.103150e-06	4.773080e-10	1	true
0.00275837    	DILUPBiCGStab	2.868780e-05	1.054170e-09	1	5.828560e-04	7.573370e-09	1	false	DILUPBiCGStab	2.275550e-04	2.674100e-09	1	true	GAMG	4.350180e-02	3.279970e-04	5	true	DICPCG	2.736350e-02	1.154140e-15	1	2.963550e-02	6.020250e-15	1	false	DILUPBiCGStab	2.051070e-06	4.358440e-10	1	true
0.00290924    	DILUPBiCGStab	2.706090e-05	9.961590e-10	1	5.130760e-04	6.429720e-09	1	false	DILUPBiCGStab	2.058080e-04	2.524110e-09	1	true	GAMG	4.019950e-02	3.209400e-04	5	true	DICPCG	2.518730e-02	1.077340e-15	1	2.734170e-02	5.613820e-15	1	false	DILUPBiCGStab	1.999920e-06	4.038110e-10	1	true
0.00305395    	DILUPBiCGStab	2.506600e-05	8.920490e-10	1	4.461090e-04	5.186920e-09	1	false	DILUPBiCGStab	1.831640e-04	2.249820e-09	1	true	GAMG	3.012430e-02	2.073880e-04	5	true	DICPCG	2.281870e-02	9.978300e-16	1	2.482490e-02	5.266590e-15	1	false	DILUPBiCGStab	1.907750e-06	3.524730e-10	1	true
0.0031957     	DILUPBiCGStab	2.408550e-05	8.486990e-10	1	4.056010e-04	4.501790e-09	1	false	DILUPBiCGStab	1.674220e-04	2.125020e-09	1	true	GAMG	3.392630e-02	2.474580e-04	5	true	DICPCG	2.119870e-02	9.341140e-16	1	2.310980e-02	4.998490e-15	1	false	DILUPBiCGStab	1.850890e-06	3.201020e-10	1	true
0.00333456    	DILUPBiCGStab	2.286660e-05	8.106420e-10	1	3.652470e-04	3.930250e-09	1	false	DILUPBiCGStab	1.535650e-04	2.016040e-09	1	true	GAMG	3.173880e-02	1.959640e-04	5	true	DICPCG	1.975670e-02	8.927460e-16	1	2.157970e-02	4.803450e-15	1	false	DILUPBiCGStab	1.795030e-06	2.940890e-10	1	true
0.00347059    	DILUPBiCGStab	2.175030e-05	7.732230e-10	1	3.307210e-04	3.488550e-09	1	false	DILUPBiCGStab	1.413180e-04	1.910690e-09	1	true	GAMG	2.937540e-02	2.066470e-04	5	true	DICPCG	1.846530e-02	8.520830e-16	1	2.020710e-02	4.618480e-15	1	false	DILUPBiCGStab	1.740280e-06	2.695940e-10	1	true
