# y+ ()       
# Time        	patch         	min           	max           	average       
0.01          	airfoil	1.039531e-05	7.385558e-02	9.177564e-04
0.02          	airfoil	1.039531e-05	7.385558e-02	9.177564e-04
0.03          	airfoil	1.039531e-05	7.385558e-02	9.177564e-04
0.04          	airfoil	1.039531e-05	7.385558e-02	9.177564e-04
0.05          	airfoil	1.039531e-05	7.385558e-02	9.177564e-04
0.06          	airfoil	1.039531e-05	7.385558e-02	9.177564e-04
0.07          	airfoil	1.039531e-05	7.385558e-02	9.177564e-04
0.08          	airfoil	1.039531e-05	7.385558e-02	9.177564e-04
0.09          	airfoil	1.039531e-05	7.385558e-02	9.177564e-04
0.1           	airfoil	1.039531e-05	7.385558e-02	9.177564e-04
0.11          	airfoil	1.039531e-05	7.385558e-02	9.177564e-04
