# y+ ()       
# Time        	patch         	min           	max           	average       
1.31          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
1.51          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
1.71          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
1.91          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
2.11          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
2.31          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
2.51          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
2.71          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
2.91          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
3.11          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
3.31          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
3.51          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
3.71          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
3.91          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
4.11          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
4.31          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
4.51          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
4.71          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
4.91          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
5.11          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
5.31          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
5.51          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
5.71          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
5.91          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
6.11          	airfoil	1.039531e-05	7.385559e-02	9.177564e-04
