# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
1             	6.930301e+00	-8.998530e-22	1.315209e-02	6.576047e-03	-9.654015e-03	-3.465151e+00	3.471727e+00	3.458575e+00	-3.465151e+00	3.465151e+00	-3.077969e-03	1.623006e-02
2             	2.832355e+00	-1.013507e-20	6.308459e-03	3.154229e-03	-5.723328e-03	-1.416177e+00	1.419332e+00	1.413023e+00	-1.416177e+00	1.416177e+00	-2.569098e-03	8.877557e-03
3             	1.325842e-01	1.356458e-21	-3.172910e-02	-1.586455e-02	-4.505737e-03	-6.629209e-02	5.042754e-02	8.215664e-02	-6.629209e-02	6.629209e-02	-2.037029e-02	-1.135881e-02
4             	-2.422001e+00	5.445947e-21	-1.467586e-02	-7.337929e-03	2.944490e-03	1.211001e+00	-1.218339e+00	-1.203663e+00	1.211001e+00	-1.211001e+00	-4.393439e-03	-1.028242e-02
5             	-2.393775e+00	4.072157e-21	-1.111700e-02	-5.558500e-03	1.907099e-03	1.196888e+00	-1.202446e+00	-1.191329e+00	1.196888e+00	-1.196888e+00	-3.651401e-03	-7.465600e-03
6             	-1.234567e+00	9.688119e-22	-1.517906e-02	-7.589531e-03	-5.323754e-04	6.172835e-01	-6.248731e-01	-6.096940e-01	6.172835e-01	-6.172835e-01	-8.121906e-03	-7.057155e-03
7             	2.159498e-01	-6.399508e-22	5.999747e-03	2.999874e-03	4.805966e-03	-1.079749e-01	1.109748e-01	1.049750e-01	-1.079749e-01	1.079749e-01	7.805840e-03	-1.806093e-03
8             	6.377657e-01	-1.546100e-21	9.163425e-03	4.581712e-03	8.090879e-03	-3.188829e-01	3.234646e-01	3.143012e-01	-3.188829e-01	3.188829e-01	1.267259e-02	-3.509167e-03
9             	4.238835e-01	-1.078045e-21	-2.360273e-03	-1.180136e-03	5.837152e-03	-2.119417e-01	2.107616e-01	2.131219e-01	-2.119417e-01	2.119417e-01	4.657015e-03	-7.017288e-03
10            	5.099826e-02	-6.446524e-22	-1.945223e-02	-9.726114e-03	-1.050710e-04	-2.549913e-02	1.577302e-02	3.522524e-02	-2.549913e-02	2.549913e-02	-9.831185e-03	-9.621043e-03
11            	-1.763795e-01	-3.503774e-22	-3.011558e-02	-1.505779e-02	-3.210594e-03	8.818977e-02	-1.032476e-01	-7.313198e-02	8.818977e-02	-8.818977e-02	-1.826838e-02	-1.184719e-02
12            	-1.587117e-01	-2.546698e-22	-2.336835e-02	-1.168418e-02	-1.678886e-03	7.935584e-02	-9.104001e-02	-6.767166e-02	7.935584e-02	-7.935584e-02	-1.336306e-02	-1.000529e-02
13            	-7.628836e-02	-2.686254e-22	-1.464965e-02	-7.324826e-03	7.806402e-04	3.814418e-02	-4.546901e-02	-3.081936e-02	3.814418e-02	-3.814418e-02	-6.544185e-03	-8.105466e-03
14            	4.136318e-03	-2.662063e-22	-6.674507e-03	-3.337253e-03	3.095650e-03	-2.068159e-03	-1.269094e-03	5.405412e-03	-2.068159e-03	2.068159e-03	-2.416032e-04	-6.432903e-03
15            	4.833817e-02	-2.891955e-22	-1.776903e-03	-8.884516e-04	4.657114e-03	-2.416909e-02	2.328064e-02	2.505754e-02	-2.416909e-02	2.416909e-02	3.768663e-03	-5.545566e-03
16            	5.011798e-02	-2.583222e-22	-6.725727e-03	-3.362864e-03	4.517476e-03	-2.505899e-02	2.169613e-02	2.842185e-02	-2.505899e-02	2.505899e-02	1.154612e-03	-7.880339e-03
17            	3.578482e-02	-2.260764e-22	-1.247544e-02	-6.237720e-03	3.641011e-03	-1.789241e-02	1.165469e-02	2.413013e-02	-1.789241e-02	1.789241e-02	-2.596709e-03	-9.878731e-03
18            	1.999397e-02	-2.018462e-22	-1.591667e-02	-7.958335e-03	3.569733e-03	-9.996985e-03	2.038651e-03	1.795532e-02	-9.996985e-03	9.996985e-03	-4.388602e-03	-1.152807e-02
