# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
1             	DILUPBiCGStab	1.000000e+00	3.346080e-03	2	1.000000e+00	3.016340e-03	2	false	DILUPBiCGStab	1.000000e+00	1.836370e-03	2	true	GAMG	1.000000e+00	7.899010e-03	11	true	DILUPBiCGStab	1.204680e-01	2.469290e-04	1	true
2             	DILUPBiCGStab	1.458170e-01	9.328740e-04	3	6.068860e-01	2.492830e-03	3	false	DILUPBiCGStab	3.416660e-01	6.472020e-04	2	true	GAMG	1.901130e-01	1.473390e-03	3	true	DILUPBiCGStab	1.193690e-02	4.970830e-05	1	true
3             	DILUPBiCGStab	4.652590e-03	3.979060e-05	3	3.238560e-01	1.542360e-03	3	false	DILUPBiCGStab	1.295320e-01	3.005910e-04	2	true	GAMG	2.980160e-01	1.896820e-03	4	true	DILUPBiCGStab	3.903100e-02	2.301390e-05	1	true
4             	DILUPBiCGStab	5.257090e-03	2.429320e-05	3	1.659850e-01	8.455230e-04	3	false	DILUPBiCGStab	9.827200e-01	3.208330e-11	1	true	GAMG	4.056300e-01	3.051170e-03	4	true	DILUPBiCGStab	1.000000e+00	6.022020e-03	1	true
5             	DILUPBiCGStab	8.643490e-03	6.132550e-05	3	1.736100e-01	1.108490e-03	3	false	DILUPBiCGStab	2.723510e-01	4.721800e-11	1	true	GAMG	3.762880e-02	3.503660e-04	3	true	DILUPBiCGStab	4.286320e-01	2.843310e-17	1	true
6             	DILUPBiCGStab	1.522740e-02	1.022500e-04	3	1.546980e-01	5.676410e-04	3	false	DILUPBiCGStab	7.129850e-01	2.405030e-11	1	true	GAMG	4.039400e-02	2.687890e-04	4	true	DILUPBiCGStab	4.286320e-01	6.566400e-16	1	true
7             	DILUPBiCGStab	7.362240e-02	3.766360e-04	3	1.291160e-01	9.268940e-04	3	false	DILUPBiCGStab	6.432290e-01	2.610380e-13	1	true	GAMG	5.611150e-02	4.691830e-04	4	true	DILUPBiCGStab	4.286010e-01	1.454760e-14	1	true
8             	DILUPBiCGStab	3.854210e-02	3.758590e-04	3	1.006950e-01	3.725540e-04	3	false	DILUPBiCGStab	8.116360e-01	1.716080e-12	1	true	GAMG	1.693400e-01	1.638060e-03	3	true	DILUPBiCGStab	4.286200e-01	9.651120e-18	1	true
9             	DILUPBiCGStab	9.779290e-03	5.359500e-05	3	7.082740e-02	3.470490e-04	3	false	DILUPBiCGStab	1.000000e+00	3.387280e-17	1	true	GAMG	6.721000e-02	4.241880e-04	4	true	DILUPBiCGStab	4.286350e-01	2.601570e-11	1	true
10            	DILUPBiCGStab	5.035560e-03	2.156380e-05	3	5.306750e-02	2.712580e-04	3	false	DILUPBiCGStab	2.735220e-01	2.845860e-19	1	true	GAMG	7.852440e-02	5.393320e-04	4	true	DILUPBiCGStab	4.285880e-01	9.148920e-18	1	true
11            	DILUPBiCGStab	4.231550e-03	1.891790e-05	3	3.867240e-02	1.819590e-04	3	false	DILUPBiCGStab	4.100040e-02	3.049790e-30	1	true	GAMG	9.989970e-02	9.729750e-04	3	true	DILUPBiCGStab	4.285890e-01	7.348930e-18	1	true
12            	DILUPBiCGStab	3.871490e-03	9.878250e-06	4	3.066410e-02	1.475030e-04	3	false	DILUPBiCGStab	1.594160e-02	2.189400e-25	1	true	GAMG	4.993730e-02	3.580340e-04	3	true	DILUPBiCGStab	4.285810e-01	3.778350e-31	1	true
13            	DILUPBiCGStab	3.415830e-03	2.087220e-05	3	2.921200e-02	1.585040e-04	3	false	DILUPBiCGStab	6.431850e-03	8.032770e-27	1	true	GAMG	4.596760e-02	3.473630e-04	3	true	DILUPBiCGStab	4.285810e-01	5.535840e-31	1	true
14            	DILUPBiCGStab	3.320870e-03	1.730350e-05	3	2.952780e-02	1.532460e-04	3	false	DILUPBiCGStab	1.044740e-02	1.562280e-21	1	true	GAMG	5.304510e-02	4.075900e-04	3	true	DILUPBiCGStab	4.285810e-01	1.066590e-31	1	true
15            	DILUPBiCGStab	3.173330e-03	1.657770e-05	3	2.560440e-02	1.428300e-04	4	false	DILUPBiCGStab	4.422570e-03	1.282650e-19	1	true	GAMG	6.895770e-02	4.395650e-04	3	true	DILUPBiCGStab	4.285920e-01	7.838660e-19	1	true
16            	DILUPBiCGStab	2.766600e-03	1.177530e-05	4	2.172880e-02	5.642840e-05	4	false	DILUPBiCGStab	1.054180e-02	4.725900e-22	1	true	GAMG	8.884480e-02	5.290640e-04	3	true	DILUPBiCGStab	4.285920e-01	4.558020e-28	1	true
17            	DILUPBiCGStab	2.497050e-03	9.672470e-06	4	1.870620e-02	1.627860e-04	3	false	DILUPBiCGStab	3.984370e-03	4.960050e-22	1	true	GAMG	9.596040e-02	6.125280e-04	3	true	DILUPBiCGStab	4.285840e-01	5.024220e-20	1	true
18            	DILUPBiCGStab	2.305640e-03	1.447330e-05	3	1.869510e-02	6.760670e-05	4	false	DILUPBiCGStab	8.504990e-04	9.729370e-20	1	true	GAMG	9.235050e-02	5.757980e-04	3	true	DILUPBiCGStab	4.285930e-01	1.799910e-26	1	true
19            	DILUPBiCGStab	2.215520e-03	6.760870e-06	4	1.878450e-02	8.994500e-05	4	false	DILUPBiCGStab	9.924650e-01	2.157710e-26	1	true	GAMG	8.619500e-02	5.547740e-04	3	true	DILUPBiCGStab	4.285810e-01	2.770460e-30	1	true
20            	DILUPBiCGStab	2.146810e-03	1.455220e-05	3	1.856870e-02	7.560170e-05	4	false	DILUPBiCGStab	2.493670e-01	8.176860e-20	1	true	GAMG	8.232100e-02	5.307720e-04	3	true	DILUPBiCGStab	4.285810e-01	6.202270e-17	1	true
21            	DILUPBiCGStab	2.124500e-03	1.839000e-05	3	1.860540e-02	1.536480e-04	3	false	DILUPBiCGStab	7.609470e-02	1.202850e-27	1	true	GAMG	8.342630e-02	5.368470e-04	3	true	DILUPBiCGStab	4.285810e-01	2.948120e-22	1	true
22            	DILUPBiCGStab	2.067490e-03	6.698970e-06	4	1.797480e-02	1.509450e-04	3	false	DILUPBiCGStab	2.827650e-02	5.659180e-21	1	true	GAMG	8.555690e-02	6.061220e-04	3	true	DILUPBiCGStab	4.285810e-01	1.278790e-37	1	true
23            	DILUPBiCGStab	2.026590e-03	7.740130e-06	4	1.677530e-02	5.149210e-05	4	false	DILUPBiCGStab	1.114210e-02	2.177390e-22	1	true	GAMG	8.748850e-02	6.439380e-04	3	true	DILUPBiCGStab	4.285810e-01	3.598770e-22	1	true
24            	DILUPBiCGStab	1.980900e-03	1.966990e-05	3	1.602170e-02	1.301060e-04	3	false	DILUPBiCGStab	4.505850e-03	1.376220e-22	1	true	GAMG	9.170100e-02	8.043600e-04	3	true	DILUPBiCGStab	4.285820e-01	2.811420e-22	1	true
25            	DILUPBiCGStab	1.921750e-03	6.502700e-06	4	1.546490e-02	1.050780e-04	3	false	DILUPBiCGStab	1.836160e-03	3.606960e-19	1	true	GAMG	9.760490e-02	8.907820e-04	3	true	DILUPBiCGStab	4.285820e-01	3.400800e-30	1	true
26            	DILUPBiCGStab	1.851710e-03	1.208900e-05	3	1.495150e-02	7.324150e-05	4	false	DILUPBiCGStab	7.515150e-04	7.002370e-24	1	true	GAMG	9.744080e-02	9.126870e-04	3	true	DILUPBiCGStab	4.285820e-01	2.745530e-21	1	true
27            	DILUPBiCGStab	1.796800e-03	9.252530e-06	4	1.485180e-02	7.261640e-05	5	false	DILUPBiCGStab	3.087840e-04	8.988990e-24	1	true	GAMG	8.871610e-02	8.000040e-04	3	true	DILUPBiCGStab	4.285820e-01	2.144890e-21	1	true
28            	DILUPBiCGStab	1.746760e-03	5.624510e-06	4	1.466920e-02	1.300510e-04	3	false	DILUPBiCGStab	1.289430e-04	2.885670e-24	1	true	GAMG	8.324470e-02	6.908670e-04	3	true	DILUPBiCGStab	4.285820e-01	1.675700e-21	1	true
29            	DILUPBiCGStab	1.703240e-03	1.290660e-05	3	1.437570e-02	1.265530e-05	5	false	DILUPBiCGStab	5.317860e-05	4.648680e-25	1	true	GAMG	8.030060e-02	6.739210e-04	3	true	DILUPBiCGStab	4.285820e-01	2.945880e-21	1	true
30            	DILUPBiCGStab	1.658770e-03	5.265540e-06	4	1.396900e-02	5.035070e-05	4	false	DILUPBiCGStab	2.195750e-05	6.147080e-24	1	true	GAMG	7.783360e-02	6.739030e-04	3	true	DILUPBiCGStab	4.285820e-01	1.260130e-25	1	true
31            	DILUPBiCGStab	1.619220e-03	5.585540e-06	4	1.389080e-02	4.734660e-05	4	false	DILUPBiCGStab	9.114770e-06	2.508890e-23	1	true	GAMG	7.509430e-02	7.057600e-04	3	true	DILUPBiCGStab	4.285820e-01	3.997150e-22	1	true
32            	DILUPBiCGStab	1.582880e-03	1.000570e-05	3	1.355450e-02	1.046520e-04	4	false	DILUPBiCGStab	3.801850e-06	5.286730e-22	1	true	GAMG	6.973190e-02	6.763820e-04	3	true	DILUPBiCGStab	4.285820e-01	3.125810e-22	1	true
33            	DILUPBiCGStab	1.530340e-03	9.800120e-06	3	1.337740e-02	1.101170e-04	3	false	DILUPBiCGStab	1.585400e-06	1.073610e-26	1	true	GAMG	6.457320e-02	4.139980e-04	4	true	DILUPBiCGStab	4.285820e-01	2.439050e-21	1	true
34            	DILUPBiCGStab	1.491570e-03	5.888680e-06	4	1.315290e-02	9.305420e-05	3	false	DILUPBiCGStab	6.633440e-07	3.253370e-25	1	true	GAMG	5.915660e-02	3.714110e-04	4	true	DILUPBiCGStab	4.285820e-01	4.967380e-21	1	true
35            	DILUPBiCGStab	1.457490e-03	8.861060e-06	3	1.312760e-02	9.087460e-05	3	false	DILUPBiCGStab	2.785090e-07	6.439120e-25	1	true	GAMG	5.486760e-02	5.456500e-04	3	true	DILUPBiCGStab	4.285820e-01	1.488830e-21	1	true
36            	DILUPBiCGStab	1.421200e-03	1.251590e-05	3	1.293620e-02	8.832880e-05	3	false	DILUPBiCGStab	1.092770e-08	3.587520e-28	1	true	GAMG	5.125350e-02	5.036670e-04	3	true	DILUPBiCGStab	4.285820e-01	5.859170e-23	1	true
37            	DILUPBiCGStab	1.386480e-03	8.937330e-06	3	1.286750e-02	1.006010e-04	3	false	DILUPBiCGStab	5.049680e-09	5.049680e-09	0	true	GAMG	4.736520e-02	2.873500e-04	4	true	DILUPBiCGStab	4.285850e-01	5.980280e-19	1	true
38            	DILUPBiCGStab	1.362520e-03	8.257120e-06	3	1.272740e-02	8.837810e-05	3	false	DILUPBiCGStab	6.040830e-09	6.040830e-09	0	true	GAMG	4.472990e-02	2.699180e-04	4	true	DILUPBiCGStab	4.285850e-01	9.344290e-19	1	true
39            	DILUPBiCGStab	1.323160e-03	7.975610e-06	3	1.266640e-02	1.136030e-04	3	false	DILUPBiCGStab	8.373820e-02	1.090700e-17	1	true	GAMG	4.140350e-02	2.611720e-04	4	true	DILUPBiCGStab	4.285850e-01	7.401260e-19	1	true
40            	DILUPBiCGStab	1.318390e-03	7.991330e-06	3	1.256400e-02	4.980330e-05	4	false	DILUPBiCGStab	4.163060e-02	6.992450e-19	1	true	GAMG	3.788340e-02	2.400300e-04	4	true	DILUPBiCGStab	4.285880e-01	1.402300e-21	1	true
41            	DILUPBiCGStab	1.286220e-03	7.709970e-06	3	1.246900e-02	4.988800e-05	4	false	DILUPBiCGStab	1.702410e-02	2.576020e-19	1	true	GAMG	3.563660e-02	2.215510e-04	4	true	DILUPBiCGStab	4.285880e-01	3.529600e-21	1	true
42            	DILUPBiCGStab	1.253130e-03	7.918730e-06	3	1.234280e-02	1.006640e-04	3	false	DILUPBiCGStab	1.000000e+00	1.174950e-16	1	true	GAMG	3.352000e-02	2.005850e-04	4	true	DILUPBiCGStab	4.285880e-01	8.277350e-21	1	true
43            	DILUPBiCGStab	1.246110e-03	3.860220e-06	4	1.228200e-02	8.576210e-05	3	false	DILUPBiCGStab	3.441570e-01	7.216940e-24	1	true	GAMG	3.139140e-02	1.826460e-04	4	true	DILUPBiCGStab	4.285820e-01	4.140810e-21	1	true
44            	DILUPBiCGStab	1.206200e-03	7.802890e-06	3	1.226140e-02	4.920930e-05	4	false	DILUPBiCGStab	9.457150e-02	3.122800e-27	1	true	GAMG	2.943500e-02	1.692650e-04	4	true	DILUPBiCGStab	4.285820e-01	5.306070e-17	1	true
45            	DILUPBiCGStab	1.198630e-03	9.387600e-06	3	1.216920e-02	4.864560e-05	4	false	DILUPBiCGStab	3.704560e-02	1.729060e-19	1	true	GAMG	2.767280e-02	1.583830e-04	4	true	DILUPBiCGStab	4.285830e-01	1.286860e-19	1	true
46            	DILUPBiCGStab	1.183530e-03	4.613930e-06	4	1.204620e-02	4.936550e-05	4	false	DILUPBiCGStab	3.349270e-03	3.027250e-21	1	true	GAMG	2.620230e-02	1.472440e-04	4	true	DILUPBiCGStab	4.285830e-01	1.936780e-19	1	true
47            	DILUPBiCGStab	1.176720e-03	7.639620e-06	3	1.200060e-02	5.376540e-05	4	false	DILUPBiCGStab	1.388850e-03	1.319010e-19	1	true	GAMG	2.500600e-02	1.535830e-04	4	true	DILUPBiCGStab	4.285840e-01	2.005750e-18	1	true
48            	DILUPBiCGStab	1.173980e-03	4.885430e-06	4	1.195630e-02	2.601610e-05	5	false	DILUPBiCGStab	5.788880e-04	8.175160e-20	1	true	GAMG	2.404230e-02	1.476610e-04	4	true	DILUPBiCGStab	4.285840e-01	7.411050e-32	1	true
49            	DILUPBiCGStab	1.147910e-03	3.882660e-06	4	1.192860e-02	9.239960e-05	3	false	DILUPBiCGStab	2.424910e-04	8.360640e-22	1	true	GAMG	2.288350e-02	1.514610e-04	4	true	DILUPBiCGStab	4.285840e-01	4.742590e-29	1	true
50            	DILUPBiCGStab	1.127030e-03	8.479660e-06	3	1.188430e-02	8.846340e-05	3	false	DILUPBiCGStab	1.014270e-04	3.416100e-23	1	true	GAMG	2.206440e-02	1.460670e-04	4	true	DILUPBiCGStab	4.285840e-01	6.604660e-22	1	true
51            	DILUPBiCGStab	1.122460e-03	8.793400e-06	3	1.174720e-02	4.468290e-05	4	false	DILUPBiCGStab	4.258500e-05	6.040180e-27	1	true	GAMG	2.104680e-02	1.362060e-04	4	true	DILUPBiCGStab	4.285840e-01	2.042490e-30	1	true
52            	DILUPBiCGStab	1.104420e-03	6.988330e-06	4	1.172430e-02	9.787780e-05	3	false	DILUPBiCGStab	1.398680e-04	5.228440e-23	1	true	GAMG	2.086050e-02	1.251940e-04	4	true	DILUPBiCGStab	4.285840e-01	7.838270e-19	1	true
53            	DILUPBiCGStab	1.094950e-03	4.878010e-06	4	1.165130e-02	1.162830e-04	3	false	DILUPBiCGStab	5.944710e-05	8.625130e-22	1	true	GAMG	2.016390e-02	1.199560e-04	4	true	DILUPBiCGStab	4.285860e-01	2.355770e-21	1	true
54            	DILUPBiCGStab	1.088250e-03	4.284940e-06	4	1.158900e-02	1.117580e-04	3	false	DILUPBiCGStab	3.125810e-05	1.796480e-22	1	true	GAMG	1.962410e-02	1.080760e-04	4	true	DILUPBiCGStab	4.285860e-01	3.680900e-21	1	true
55            	DILUPBiCGStab	1.084870e-03	4.611530e-06	4	1.151470e-02	5.081220e-05	4	false	DILUPBiCGStab	1.307200e-05	6.401250e-24	1	true	GAMG	1.942960e-02	1.066310e-04	4	true	DILUPBiCGStab	8.936870e-03	7.675390e-21	1	true
56            	DILUPBiCGStab	1.080140e-03	6.795760e-06	4	1.136340e-02	8.138610e-05	3	false	DILUPBiCGStab	1.462900e-07	3.114130e-25	1	true	GAMG	1.894320e-02	1.014580e-04	4	true	DILUPBiCGStab	1.780630e-03	7.249850e-21	1	true
57            	DILUPBiCGStab	1.068430e-03	4.907640e-06	4	1.127010e-02	4.714510e-05	4	false	DILUPBiCGStab	6.449300e-08	1.744780e-27	1	true	GAMG	1.852530e-02	1.028050e-04	4	true	DILUPBiCGStab	2.924600e-01	3.197510e-27	1	true
58            	DILUPBiCGStab	1.053840e-03	8.575030e-06	3	1.122840e-02	6.540890e-05	4	false	DILUPBiCGStab	4.074000e-08	1.006870e-26	1	true	GAMG	1.847620e-02	1.046280e-04	4	true	DILUPBiCGStab	3.269750e-07	5.630170e-24	1	true
59            	DILUPBiCGStab	1.021250e-03	4.418290e-06	4	1.109580e-02	7.764730e-05	3	false	DILUPBiCGStab	1.803780e-08	1.170000e-25	1	true	GAMG	1.833620e-02	1.011000e-04	4	true	DILUPBiCGStab	4.870720e-07	6.603430e-24	1	true
