# y+ ()       
# Time        	patch         	min           	max           	average       
0.2           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
0.4           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
0.6           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
0.8           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
1             	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
1.2           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
1.4           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
1.6           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
1.8           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
2             	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
2.2           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
2.4           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
2.6           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
2.8           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
3             	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
3.2           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
3.4           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
3.6           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
3.8           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
4             	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
4.2           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
4.4           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
4.6           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
4.8           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
5             	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
5.2           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
5.4           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
5.6           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
5.8           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
6             	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
6.2           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
6.4           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
6.6           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
6.8           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
7             	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
7.2           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
7.4           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
7.6           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
7.8           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
8             	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
8.2           	airfoil	1.018505e-05	1.987036e+00	4.744729e-01
